Strategy,Ann_Return,Ann_Vol,Sharpe,Max_DD,Cum_Return
Market Benchmark (Long),0.11007697777765776,0.12296511286500225,0.895188685741347,-0.08245282370748583,0.10760036827805552
Ridge Long-Short,-0.18898383095474486,0.20845131495755156,-0.9066089652311812,-0.28712692984336835,-0.1921944257765188
FNN Long-Short,0.12139529659813884,0.14263260501958067,0.8511048128264477,-0.04629148113079135,0.11748862968059703
Random Forest (depth=3) L-S,-0.12155488174308196,0.09883451433939254,-1.2298829265823967,-0.14538961955309984,-0.119432259382251
