Strategy,Friction,Ann_Return,Ann_Vol,Sharpe,Max_DD,Cum_Return,Avg_Turnover
Market Equal-Weight,No,0.1336488381218111,0.13539149019291014,0.9871287917090207,-0.08556970574831937,0.1320384079004886,0.0
Ridge Long-Short,No,-0.23281349482880181,0.26430821858922576,-0.8808409215251403,-0.3254914732186134,-0.23867009589454802,0.24305555555555558
Ridge Long-Short,Yes,-0.2673134948288018,0.2634299844613084,-1.0147420969387173,-0.3404188964992269,-0.2650003069987408,0.24305555555555558
FNN Long-Short,No,0.15667543794460248,0.1586688004902674,0.9874369596322297,-0.04943211936025684,0.1542748932086786,0.5243055555555556
FNN Long-Short,Yes,0.10192543794460249,0.1580140687717714,0.6450402722799267,-0.060961481108572434,0.09341986962844095,0.5243055555555556
Random Forest L-S,No,-0.21936220947097998,0.15724914611914262,-1.3949977782695004,-0.23802891902283457,-0.20890363451047023,0.125
Random Forest L-S,Yes,-0.24536220947097998,0.15614978738499843,-1.57132592736756,-0.2545269142716878,-0.22951111707568272,0.125
