Strategy,Ann_Return,Ann_Vol,Sharpe,Max_DD,Cum_Return
Market Benchmark (Long),0.11007697777765776,0.12296511286500225,0.895188685741347,-0.08245282370748583,0.10760036827805552
Ridge Long-Short (Raw),-0.1436339782211716,0.23368519781096322,-0.6146473099993375,-0.2803696609963828,-0.15889698693658227
FNN Long-Short (Raw),0.37362602580606596,0.14704040496498044,2.540975223069127,-0.03756796013423641,0.43018000954004254
Random Forest L-S (Raw),-0.11372820501692499,0.0901978858234452,-1.2608743983150381,-0.13629180401754412,-0.11171571667499991
