n_estimators,max_depth,min_samples_leaf,Val_MSE,Val_MAE,Val_R2,Val_R2_OOS,Val_Corr,Split
50,3.0,10,0.01194719771785792,0.08035771861539046,-0.004451944055728463,0.002874813970663914,,Split_3
50,3.0,5,0.01194719771785792,0.08035771861539046,-0.004451944055728463,0.002874813970663914,,Split_3
200,3.0,2,0.01194768148491532,0.0803579891258111,-0.0044926164186331885,0.002834438283536689,,Split_3
50,3.0,2,0.011948320912162653,0.08035834480556177,-0.0045463757986010656,0.0027810710397689897,,Split_3
100,2.0,5,0.012019388909869966,0.08048028864424443,-0.01052136592959707,-0.003150335814636307,,Split_3
100,2.0,2,0.012019388909869966,0.08048028864424443,-0.01052136592959707,-0.003150335814636307,,Split_3
100,2.0,10,0.012019388909869966,0.08048028864424443,-0.01052136592959707,-0.003150335814636307,,Split_3
200,2.0,5,0.01202022770800736,0.0804819508309586,-0.010591887271896194,-0.0032203427542167873,,Split_3
200,2.0,2,0.01202022770800736,0.0804819508309586,-0.010591887271896194,-0.0032203427542167873,,Split_3
200,2.0,10,0.01202022770800736,0.0804819508309586,-0.010591887271896194,-0.0032203427542167873,,Split_3
50,2.0,10,0.012022098479762282,0.08048571298712859,-0.010749171044249328,-0.003376479254021847,,Split_3
50,2.0,2,0.012022098479762284,0.08048571298712859,-0.01074917104424955,-0.003376479254021847,,Split_3
50,2.0,5,0.012022098479762284,0.08048571298712859,-0.01074917104424955,-0.003376479254021847,,Split_3
100,,10,0.013599927556942622,0.08797958928527147,-0.14340400118843522,-0.13506368735590835,0.16485349153927967,Split_3
200,,10,0.013710197199850898,0.08820267298422187,-0.1526748410795331,-0.1442669031053183,0.15626493014255116,Split_3
100,,5,0.013750305537074162,0.08843351596277198,-0.15604692031084366,-0.14761438543209815,0.1571056260817257,Split_3
200,,5,0.01384494576988388,0.08858838128076651,-0.16400372893463633,-0.1555131548318207,0.14920072145007254,Split_3
50,,10,0.013892810736704047,0.08903931825626563,-0.16802794114825148,-0.15950801329754327,0.15108662314224292,Split_3
50,,5,0.014040885387682844,0.08953951777180086,-0.18047720955022228,-0.17186647319670145,0.14574520193965954,Split_3
200,,2,0.01412189565381784,0.08933364206683665,-0.1872880886558843,-0.17862767181396433,0.1421025714867853,Split_3
100,,2,0.014162059334657261,0.08942169078345633,-0.19066482086140302,-0.1819797731748356,0.14544653896794732,Split_3
50,,2,0.014220755345425187,0.08986398751560698,-0.19559964520402096,-0.18687860150582258,0.14191616362149784,Split_3
50,2.0,2,0.008963399619858852,0.06743029080906908,-0.031426868458654944,0.0053436936351732855,,Split_4
50,2.0,5,0.008963399619858852,0.06743029080906908,-0.031426868458654944,0.0053436936351732855,,Split_4
50,2.0,10,0.008963399619858852,0.06743029080906908,-0.031426868458654944,0.0053436936351732855,,Split_4
200,2.0,5,0.008966256576506501,0.06745604285310788,-0.03175562116113162,0.005026661028448953,,Split_4
200,2.0,10,0.008966256576506501,0.06745604285310788,-0.03175562116113162,0.005026661028448953,,Split_4
200,2.0,2,0.008966256576506501,0.06745604285310788,-0.03175562116113162,0.005026661028448953,,Split_4
100,2.0,10,0.008967410661402334,0.06746640772798389,-0.031888422801193084,0.004898593791864081,,Split_4
100,2.0,5,0.008967410661402334,0.06746640772798389,-0.031888422801193084,0.004898593791864081,,Split_4
100,2.0,2,0.008967410661402334,0.06746640772798389,-0.031888422801193084,0.004898593791864081,,Split_4
50,3.0,10,0.009093769347001662,0.06854153632734987,-0.04642863621547777,-0.009123258276059198,,Split_4
50,3.0,5,0.009093769347001662,0.06854153632734987,-0.04642863621547777,-0.009123258276059198,,Split_4
